 C+          , coolant no=           1
    1    2 ->    1 lam[mic]= 1.577409E+02 Eu[K]= 9.121E+01 Aul[1/s]= 2.300E-06 Ncr[cm^-2]= 5.587E+16                ,                ->                ,                
    2    3 ->    1 lam[mic]= 2.325403E-01 Eu[K]= 6.187E+04 Aul[1/s]= 5.530E+01 Ncr[cm^-2]= 1.451E+18                ,                ->                ,                
    3    3 ->    2 lam[mic]= 2.328837E-01 Eu[K]= 6.187E+04 Aul[1/s]= 6.550E+01 Ncr[cm^-2]= 2.439E+18                ,                ->                ,                
    4    4 ->    1 lam[mic]= 2.324215E-01 Eu[K]= 6.190E+04 Aul[1/s]= 1.710E+00 Ncr[cm^-2]= 2.349E+19                ,                ->                ,                
    5    4 ->    2 lam[mic]= 2.327644E-01 Eu[K]= 6.190E+04 Aul[1/s]= 5.240E+00 Ncr[cm^-2]= 1.526E+19                ,                ->                ,                
    6    4 ->    3 lam[mic]= 4.546691E+02 Eu[K]= 6.190E+04 Aul[1/s]= 2.390E-07 Ncr[cm^-2]= 2.245E+16                ,                ->                ,                
    7    5 ->    2 lam[mic]= 2.326113E-01 Eu[K]= 6.194E+04 Aul[1/s]= 4.320E+01 Ncr[cm^-2]= 1.237E+18                ,                ->                ,                
    8    5 ->    4 lam[mic]= 3.535693E+02 Eu[K]= 6.194E+04 Aul[1/s]= 3.670E-07 Ncr[cm^-2]= 4.145E+16                ,                ->                ,                
    9    5 ->    3 lam[mic]= 1.988980E+02 Eu[K]= 6.194E+04 Aul[1/s]= 3.490E-14 Ncr[cm^-2]= 1.224E+24                ,                ->                ,                
   10    7 ->    1 lam[mic]= 1.334532E-01 Eu[K]= 1.078E+05 Aul[1/s]= 2.393E+08 Ncr[cm^-2]= 8.867E+11                ,                ->                ,                
   11    7 ->    2 lam[mic]= 1.335663E-01 Eu[K]= 1.078E+05 Aul[1/s]= 4.773E+07 Ncr[cm^-2]= 8.869E+12                ,                ->                ,                
   12    6 ->    2 lam[mic]= 1.335690E-01 Eu[K]= 1.078E+05 Aul[1/s]= 2.864E+08 Ncr[cm^-2]= 9.853E+11                ,                ->                ,                
   13    8 ->    1 lam[mic]= 1.036337E-01 Eu[K]= 1.388E+05 Aul[1/s]= 7.643E+08 Ncr[cm^-2]= 1.186E+12                ,                ->                ,                
   14    8 ->    2 lam[mic]= 1.037018E-01 Eu[K]= 1.388E+05 Aul[1/s]= 1.526E+09 Ncr[cm^-2]= 1.185E+12                ,                ->                ,                
   15    9 ->    3 lam[mic]= 1.478835E-01 Eu[K]= 1.592E+05 Aul[1/s]= 5.516E-04 Ncr[cm^-2]= 5.654E+23                ,                ->                ,                
   16   10 ->    3 lam[mic]= 1.477931E-01 Eu[K]= 1.592E+05 Aul[1/s]= 1.090E-04 Ncr[cm^-2]= 1.433E+24                ,                ->                ,                
   17    9 ->    4 lam[mic]= 1.479317E-01 Eu[K]= 1.592E+05 Aul[1/s]= 5.184E-05 Ncr[cm^-2]= 1.202E+25                ,                ->                ,                
   18   10 ->    4 lam[mic]= 1.478412E-01 Eu[K]= 1.592E+05 Aul[1/s]= 2.560E-04 Ncr[cm^-2]= 1.219E+24                ,                ->                ,                
   19    9 ->    5 lam[mic]= 1.479930E-01 Eu[K]= 1.592E+05 Aul[1/s]= 1.575E-06 Ncr[cm^-2]= 5.928E+26                ,                ->                ,                
   20   10 ->    5 lam[mic]= 1.479025E-01 Eu[K]= 1.592E+05 Aul[1/s]= 3.390E-04 Ncr[cm^-2]= 1.379E+24                ,                ->                ,                
   21    9 ->    6 lam[mic]= 2.801589E-01 Eu[K]= 1.592E+05 Aul[1/s]= 8.395E-05 Ncr[cm^-2]= 1.639E+24                ,                ->                ,                
   22   10 ->    6 lam[mic]= 2.798347E-01 Eu[K]= 1.592E+05 Aul[1/s]= 7.499E-04 Ncr[cm^-2]= 9.207E+22                ,                ->                ,                
   23    9 ->    7 lam[mic]= 2.801772E-01 Eu[K]= 1.592E+05 Aul[1/s]= 8.300E-04 Ncr[cm^-2]= 1.105E+23                ,                ->                ,                
   24   10 ->    7 lam[mic]= 2.798529E-01 Eu[K]= 1.592E+05 Aul[1/s]= 1.255E-03 Ncr[cm^-2]= 3.667E+22                ,                ->                ,                
   25    9 ->    8 lam[mic]= 7.076919E-01 Eu[K]= 1.592E+05 Aul[1/s]= 6.311E-04 Ncr[cm^-2]= 4.509E+21                ,                ->                ,                
   26   10 ->    8 lam[mic]= 7.056248E-01 Eu[K]= 1.592E+05 Aul[1/s]= 1.595E-04 Ncr[cm^-2]= 9.000E+21                ,                ->                ,                
   27   10 ->    9 lam[mic]= 2.416005E+02 Eu[K]= 1.592E+05 Aul[1/s]= 6.380E-07 Ncr[cm^-2]= 5.605E+16                ,                ->                ,                
   28   14 ->    3 lam[mic]= 1.009862E-01 Eu[K]= 2.043E+05 Aul[1/s]= 5.760E+08 Ncr[cm^-2]= 8.502E+11                ,                ->                ,                
   29   14 ->    4 lam[mic]= 1.010087E-01 Eu[K]= 2.043E+05 Aul[1/s]= 1.150E+09 Ncr[cm^-2]= 8.511E+11                ,                ->                ,                
   30   14 ->    5 lam[mic]= 1.010375E-01 Eu[K]= 2.043E+05 Aul[1/s]= 1.730E+09 Ncr[cm^-2]= 8.479E+11                ,                ->                ,                
   31   16 ->    6 lam[mic]= 1.323910E-01 Eu[K]= 2.165E+05 Aul[1/s]= 4.530E+08 Ncr[cm^-2]= 1.439E+12                ,                ->                ,                
   32   15 ->    6 lam[mic]= 1.324000E-01 Eu[K]= 2.165E+05 Aul[1/s]= 3.380E+07 Ncr[cm^-2]= 1.286E+13                ,                ->                ,                
   33   17 ->    6 lam[mic]= 1.066137E-01 Eu[K]= 2.428E+05 Aul[1/s]= 1.754E+09 Ncr[cm^-2]= 1.424E+12                ,                ->                ,                
   34   18 ->    6 lam[mic]= 1.065924E-01 Eu[K]= 2.428E+05 Aul[1/s]= 1.786E+08 Ncr[cm^-2]= 6.995E+12                ,                ->                ,                
   35   16 ->    7 lam[mic]= 1.323866E-01 Eu[K]= 2.165E+05 Aul[1/s]= 5.100E+07 Ncr[cm^-2]= 8.524E+12                ,                ->                ,                
   36   15 ->    7 lam[mic]= 1.323956E-01 Eu[K]= 2.165E+05 Aul[1/s]= 4.710E+08 Ncr[cm^-2]= 6.152E+11                ,                ->                ,                
   37   18 ->    7 lam[mic]= 1.065895E-01 Eu[K]= 2.428E+05 Aul[1/s]= 1.559E+09 Ncr[cm^-2]= 5.343E+11                ,                ->                ,                
   38   17 ->    8 lam[mic]= 1.384360E-01 Eu[K]= 2.428E+05 Aul[1/s]= 9.503E+07 Ncr[cm^-2]= 4.001E+12                ,                ->                ,                
   39   18 ->    8 lam[mic]= 1.384000E-01 Eu[K]= 2.428E+05 Aul[1/s]= 1.127E+08 Ncr[cm^-2]= 1.688E+12                ,                ->                ,                
   40   16 ->    9 lam[mic]= 2.509890E-01 Eu[K]= 2.165E+05 Aul[1/s]= 5.380E+07 Ncr[cm^-2]= 5.929E+11                ,                ->                ,                
   41   17 ->    9 lam[mic]= 1.721018E-01 Eu[K]= 2.428E+05 Aul[1/s]= 3.310E+08 Ncr[cm^-2]= 5.978E+11                ,                ->                ,                
   42   18 ->    9 lam[mic]= 1.720462E-01 Eu[K]= 2.428E+05 Aul[1/s]= 7.159E+07 Ncr[cm^-2]= 1.383E+12                ,                ->                ,                
   43   16 ->   10 lam[mic]= 2.512500E-01 Eu[K]= 2.165E+05 Aul[1/s]= 1.060E+07 Ncr[cm^-2]= 6.000E+12                ,                ->                ,                
   44   15 ->   10 lam[mic]= 2.512823E-01 Eu[K]= 2.165E+05 Aul[1/s]= 6.430E+07 Ncr[cm^-2]= 6.591E+11                ,                ->                ,                
   45   17 ->   10 lam[mic]= 1.722245E-01 Eu[K]= 2.428E+05 Aul[1/s]= 1.565E+08 Ncr[cm^-2]= 2.523E+12                ,                ->                ,                
   46   18 ->   10 lam[mic]= 1.721688E-01 Eu[K]= 2.428E+05 Aul[1/s]= 3.969E+08 Ncr[cm^-2]= 4.980E+11                ,                ->                ,                
   47   12 ->    8 lam[mic]= 2.838448E-01 Eu[K]= 1.895E+05 Aul[1/s]= 3.500E+07 Ncr[cm^-2]= 1.260E+12                ,                ->                ,                
   48   13 ->    8 lam[mic]= 2.837551E-01 Eu[K]= 1.895E+05 Aul[1/s]= 3.600E+07 Ncr[cm^-2]= 6.132E+11                ,                ->                ,                
   49   12 ->   11 lam[mic]= 6.584719E-01 Eu[K]= 1.895E+05 Aul[1/s]= 3.600E+07 Ncr[cm^-2]= 9.814E+10                ,                ->                ,                
   50   13 ->   11 lam[mic]= 6.579893E-01 Eu[K]= 1.895E+05 Aul[1/s]= 3.600E+07 Ncr[cm^-2]= 4.918E+10                ,                ->                ,                
   51   14 ->    9 lam[mic]= 3.184427E-01 Eu[K]= 2.043E+05 Aul[1/s]= 1.490E+01 Ncr[cm^-2]= 1.048E+18                ,                ->                ,                
   52   14 ->   10 lam[mic]= 3.188630E-01 Eu[K]= 2.043E+05 Aul[1/s]= 7.680E+01 Ncr[cm^-2]= 4.051E+17                ,                ->                ,                
   53   14 ->   11 lam[mic]= 3.923205E-01 Eu[K]= 2.043E+05 Aul[1/s]= 1.010E+01 Ncr[cm^-2]= 8.270E+17                ,                ->                ,                
   54   12 ->    9 lam[mic]= 4.739307E-01 Eu[K]= 1.895E+05 Aul[1/s]= 5.340E+04 Ncr[cm^-2]= 1.774E+14                ,                ->                ,                
   55   12 ->   10 lam[mic]= 4.748623E-01 Eu[K]= 1.895E+05 Aul[1/s]= 2.240E+04 Ncr[cm^-2]= 8.411E+14                ,                ->                ,                
   56   13 ->    9 lam[mic]= 4.736804E-01 Eu[K]= 1.895E+05 Aul[1/s]= 8.280E+03 Ncr[cm^-2]= 5.731E+14                ,                ->                ,                
